"E8033100","E8043100","E8043500","R0000100","R0070700","R0343700","R0344200","R0344900","R0360300","R0360400","R0360500","R0365900","R0366000","R0536300","R0536401","R0536402","R0648900","R1204500","R1235800","R1482600"
0,0,0,1300,1,1,0,1,0,0,0,0,-4,1,4,1984,0,20350,1,4
0,0,0,1301,1,1,0,1,0,0,0,0,-4,1,9,1984,0,39250,1,4
0,0,0,1302,1,-4,-4,-4,0,0,0,0,-4,2,7,1981,0,109700,1,4
0,0,0,1303,1,1,0,1,0,0,0,0,-4,2,9,1984,0,109700,1,4
0,0,0,1304,3,-4,-4,-4,1,1,0,0,-4,1,3,1980,0,49200,1,4
0,0,0,1305,1,-4,-4,-4,1,0,0,0,-4,1,11,1981,0,49200,1,4
0,0,0,1306,2,-4,-4,-4,1,0,0,0,-4,2,6,1981,0,65300,1,4
0,0,0,1307,1,1,8,2,0,1,0,0,-4,2,5,1984,0,65300,1,4
0,0,0,1308,1,1,0,4,0,0,0,0,-4,2,10,1983,0,51750,1,4
1,0,0,1309,1,-4,-4,-4,0,0,0,0,-4,2,3,1982,0,54736,1,4
3,1,2,1310,1,-4,-4,-4,1,0,0,0,-4,1,4,1981,0,22500,1,4
0,0,0,1311,1,-4,-4,-4,0,0,0,0,-4,2,6,1980,0,246474,1,4
0,0,0,1312,1,-4,-4,-4,0,0,0,0,-4,2,11,1980,0,80500,1,4
0,0,0,1313,1,3,0,1,0,0,0,0,-4,2,1,1983,0,80500,1,4
0,0,0,1314,1,-4,-4,-4,0,0,0,0,-4,2,8,1982,0,47250,1,4
0,0,0,1315,1,-4,-4,-4,0,0,0,0,-4,2,4,1980,0,65000,1,4
0,0,0,1316,1,3,0,3,0,0,0,0,-4,2,5,1983,0,65000,1,4
0,0,0,1317,2,-4,-4,-4,0,0,0,0,-4,2,2,1982,0,59000,1,4
0,0,0,1318,2,1,1,1,1,0,0,0,-4,1,11,1984,0,34200,1,4
0,0,0,1319,1,1,3,4,1,0,0,0,-4,2,9,1984,0,28000,1,4
1,0,0,1320,1,-4,-4,-4,0,0,0,0,-4,1,7,1980,0,58875,1,4
0,0,0,1321,1,-4,-4,-4,0,0,0,0,-4,1,10,1982,0,58875,1,4
0,0,0,1322,1,-4,-4,-4,0,0,0,0,-4,2,10,1982,0,49700,1,4
0,0,0,1323,1,1,0,4,0,0,0,0,-4,1,7,1984,0,81265,1,2
0,0,0,1324,4,-4,-4,-4,1,0,0,0,-4,2,6,1980,1,17920,1,1
0,0,0,1325,-2,-4,-4,-4,1,0,0,0,-4,2,10,1982,0,40000,1,1
1,0,0,1326,2,2,-4,-4,1,0,0,1,1,1,2,1983,-2,32000,1,4
2,0,0,1327,4,-4,-4,-4,1,0,0,0,-4,2,12,1981,0,36900,1,4
0,0,0,1328,1,-4,-4,-4,1,0,0,0,-4,2,10,1980,0,18000,1,1
2,0,0,1329,5,-4,-4,-4,1,1,1,0,-4,2,3,1981,0,19200,1,2
0,0,0,1330,1,-4,-4,-4,0,0,0,0,-4,2,3,1982,0,162500,1,4
0,0,0,1331,1,3,0,1,1,0,0,0,-4,2,7,1983,0,-3,1,4
0,0,0,1332,1,-4,-4,-4,0,0,0,0,-4,1,2,1980,-4,-4,1,4
0,0,0,1333,1,-4,-4,-4,0,0,0,0,-4,2,9,1982,-4,-4,1,4
0,0,0,1334,1,-4,-4,-4,0,0,0,0,-4,2,9,1980,0,246474,1,4
0,0,0,1335,1,-4,-4,-4,0,0,0,0,-4,1,12,1980,0,246474,1,4
0,0,0,1336,1,1,0,1,0,0,0,0,-4,1,6,1984,0,246474,1,4
0,0,0,1337,2,-4,-4,-4,1,0,0,0,-4,2,11,1982,0,157500,1,4
0,0,0,1338,1,-4,-4,-4,0,0,0,0,-4,2,10,1981,0,-3,1,4
5,0,0,1339,1,-4,-4,-4,1,0,0,0,-4,1,3,1981,0,39250,1,4
0,0,0,1340,1,3,3,1,0,0,0,0,-4,2,11,1984,0,39250,1,4
1,0,0,1341,2,3,0,4,1,0,0,0,-4,1,1,1983,0,-3,1,4
0,0,0,1342,1,-4,-4,-4,1,0,0,0,-4,1,3,1980,0,83130,1,4
2,0,0,1343,1,-4,-4,-4,1,1,0,1,1,1,12,1980,0,92000,1,4
0,0,0,1344,1,3,12,4,0,0,0,0,-4,2,10,1983,0,92000,1,4
0,0,0,1345,1,-4,-4,-4,0,0,0,0,-4,2,1,1980,0,57000,1,1
0,0,0,1346,2,1,0,1,0,0,0,0,-4,1,11,1983,-1,33000,1,1
1,0,0,1347,1,1,0,1,0,0,0,0,-4,2,1,1983,0,72000,1,4
0,0,0,1348,1,-4,-4,-4,0,0,0,0,-4,1,12,1981,0,43500,1,4
0,0,0,1349,3,3,0,4,1,0,0,0,-4,1,9,1983,0,50576,1,4
1,0,0,1350,1,1,0,1,0,0,0,0,-4,2,11,1983,0,16000,1,2
1,0,0,1351,1,-4,-4,-4,0,0,0,0,-4,1,11,1981,0,0,1,2
1,1,54,1352,1,1,0,6,0,0,0,0,-4,1,5,1983,0,0,1,2
0,0,0,1353,1,1,2,6,0,0,0,0,-4,1,8,1984,0,0,1,2
0,0,0,1354,1,-4,-4,-4,1,0,0,0,-4,2,7,1980,-4,-3,1,2
1,0,0,1355,2,-4,-4,-4,1,1,0,0,-4,2,11,1981,-4,65000,1,2
0,0,0,1356,1,-4,-4,-4,0,0,0,0,-4,2,5,1981,1,-3,1,2
0,0,0,1357,3,-4,-4,-4,1,0,0,0,-4,2,10,1982,1,-3,1,2
0,0,0,1358,2,1,1,4,1,0,0,0,-4,2,8,1984,1,-3,1,2
0,0,0,1359,2,-4,-4,-4,1,1,0,0,-4,1,5,1981,0,11850,1,1
1,0,0,1360,1,-4,-4,-4,1,0,0,1,1,1,7,1981,0,103750,1,2
0,0,0,1361,1,-4,-4,-4,1,0,0,0,-4,1,11,1982,0,103750,1,4
0,0,0,1362,5,-4,-4,-4,1,1,0,0,-4,2,7,1980,0,55000,1,4
0,0,0,1363,1,-4,-4,-4,0,0,0,0,-4,1,3,1981,0,-3,1,2
0,0,0,1364,2,-4,-4,-4,1,0,0,0,-4,1,12,1980,0,-3,1,4
0,0,0,1365,1,-4,-4,-4,1,0,0,0,-4,1,7,1982,0,-3,1,2
0,0,0,1366,1,-4,-4,-4,1,0,0,0,-4,1,3,1980,0,-3,1,2
0,0,0,1367,1,3,0,1,0,0,0,0,-4,1,2,1984,0,51512,1,4
0,0,0,1368,1,-4,-4,-4,0,0,0,0,-4,2,12,1982,0,42000,1,2
0,0,0,1369,1,-4,-4,-4,1,1,0,0,-4,2,9,1981,0,58300,1,4
0,0,0,1370,1,2,-4,-4,0,0,0,0,-4,2,3,1984,0,91000,1,4
0,0,0,1371,1,-4,-4,-4,0,0,0,0,-4,1,10,1981,0,40500,1,4
0,0,0,1372,2,1,0,4,1,0,0,0,-4,2,8,1983,0,40500,1,4
0,0,0,1373,1,1,1,4,1,0,0,0,-4,1,8,1983,0,75500,1,4
1,0,0,1374,1,-4,-4,-4,1,0,0,0,-4,1,5,1982,0,26750,1,4
4,0,0,1375,1,1,0,4,0,0,0,0,-4,2,12,1984,0,26750,1,4
0,0,0,1376,1,-4,-4,-4,0,0,0,0,-4,1,4,1980,0,70000,1,4
0,0,0,1377,1,1,0,1,0,0,0,0,-4,1,3,1984,0,35500,1,4
1,1,1,1378,1,1,0,4,0,0,0,0,-4,1,6,1983,0,-3,1,4
0,0,0,1379,1,1,0,1,0,0,0,0,-4,2,8,1984,0,-3,1,4
0,0,0,1380,3,-4,-4,-4,1,0,0,0,-4,2,2,1980,0,62000,1,4
0,0,0,1381,1,1,0,4,1,0,0,0,-4,1,9,1983,0,42400,1,4
16,5,5,1382,1,3,0,4,1,1,0,0,-4,1,4,1984,0,75500,1,4
0,0,0,1383,2,-4,-4,-4,0,0,0,0,-4,1,12,1982,0,35500,1,4
0,0,0,1384,5,3,2,6,1,0,0,0,-4,2,10,1983,0,7500,1,4
10,1,1,1385,1,-4,-4,-4,0,0,0,0,-4,2,9,1982,0,0,1,4
0,0,0,1386,1,-4,-4,-4,0,0,0,0,-4,2,9,1981,0,65700,1,2
0,0,0,1387,1,-4,-4,-4,0,0,0,0,-4,2,9,1982,0,-3,1,2
0,0,0,1388,3,3,0,4,0,0,0,0,-4,2,8,1984,0,-3,1,2
0,0,0,1389,5,-4,-4,-4,1,0,0,0,-4,2,2,1980,0,-3,1,4
0,0,0,1390,1,-4,-4,-4,1,0,0,0,-4,1,3,1982,-4,-3,1,4
0,0,0,1391,3,-4,-4,-4,1,1,0,0,-4,2,7,1980,0,-3,1,2
0,0,0,1392,4,-4,-4,-4,1,0,0,0,-4,2,7,1980,0,-3,1,2
0,0,0,1393,1,1,0,1,1,0,0,0,-4,2,7,1984,0,-3,1,2
1,1,33,1394,3,1,0,1,1,1,0,0,-4,1,2,1984,0,-3,1,1
15,1,25,1395,1,1,0,4,1,1,0,0,-4,1,8,1983,0,42040,1,1
4,0,0,1396,3,2,-4,-4,1,1,0,0,-4,1,11,1984,0,42040,1,1
17,4,77,1397,5,-4,-4,-4,1,0,0,1,6,1,4,1982,0,-3,1,1
4,1,21,1398,5,-4,-4,-4,0,0,0,0,-4,2,7,1980,0,-3,1,1
0,0,0,1399,5,1,0,4,1,0,0,0,-4,2,10,1984,1,9270,1,1
2,1,9,1400,3,-4,-4,-4,0,1,0,0,-4,1,7,1980,0,25640,1,1
1,0,0,1401,1,1,0,4,1,0,0,0,-4,1,7,1983,0,25640,1,1
0,0,0,1402,1,3,6,1,0,0,0,0,-4,1,9,1983,0,47900,1,4
0,0,0,1403,2,-4,-4,-4,0,0,0,0,-4,2,6,1981,0,33200,1,4
0,0,0,1404,2,1,0,1,0,0,0,0,-4,1,6,1983,0,33200,1,4
5,0,0,1405,1,-4,-4,-4,1,0,0,1,1,1,3,1982,0,4574,1,4
0,0,0,1406,1,1,0,1,0,0,0,0,-4,1,11,1983,0,141000,1,4
0,0,0,1407,1,-1,-4,-4,0,0,0,0,-4,1,11,1983,0,93000,1,4
0,0,0,1408,1,-4,-4,-4,0,1,0,0,-4,1,3,1980,0,-3,1,4
16,8,52,1409,1,-4,-4,-4,0,0,0,1,4,1,2,1982,1,84300,1,4
1,0,0,1410,1,-4,-4,-4,1,1,0,1,1,2,5,1980,0,71600,1,4
0,0,0,1411,1,-4,-4,-4,0,0,0,0,-4,2,5,1980,0,97400,1,4
0,0,0,1412,1,-4,-4,-4,0,0,0,0,-4,2,6,1982,0,97400,1,4
1,0,0,1413,1,3,0,1,0,0,0,0,-4,2,8,1984,0,51800,1,2
1,0,0,1414,1,-4,-4,-4,0,0,0,0,-4,2,7,1982,0,-3,1,4
0,0,0,1415,1,-4,-4,-4,1,0,0,0,-4,2,10,1982,0,37500,1,4
1,0,0,1416,3,-4,-4,-4,1,1,0,1,1,2,8,1982,-4,-3,1,4
5,0,0,1417,1,1,5,1,1,0,0,0,-4,1,2,1983,0,55500,1,4
0,0,0,1418,3,3,0,1,0,0,0,0,-4,1,11,1983,0,13750,1,4
0,0,0,1419,1,-4,-4,-4,0,1,0,0,-4,2,8,1982,0,7300,1,4
2,0,0,1420,1,-4,-4,-4,0,0,0,0,-4,2,8,1982,0,7300,1,4
0,0,0,1421,2,1,1,4,1,0,0,0,-4,1,6,1983,0,111750,1,4
0,0,0,1422,2,-4,-4,-4,1,0,0,0,-4,2,7,1982,0,-3,1,1
0,0,0,1423,3,1,0,4,1,0,0,0,-4,2,1,1983,0,-3,1,1
3,0,0,1424,2,-1,-4,-4,-1,-1,-1,0,-4,2,7,1983,0,-3,1,1
4,0,0,1425,3,-4,-4,-4,1,1,0,1,2,1,3,1981,-4,-4,1,1
1,0,0,1426,3,-4,-4,-4,1,0,0,0,-4,1,10,1982,0,-3,1,1
0,0,0,1427,1,1,0,4,1,0,0,0,-4,2,6,1984,-4,-4,1,1
0,0,0,1428,4,-4,-4,-4,1,0,0,0,-4,2,3,1980,0,-3,1,1
0,0,0,1429,1,-4,-4,-4,0,0,0,0,-4,2,3,1981,0,156000,1,4
0,0,0,1430,1,-4,-4,-4,0,1,0,0,-4,2,12,1982,0,156000,1,4
0,0,0,1431,1,-4,-4,-4,1,0,0,0,-4,1,6,1980,0,101300,1,4
0,0,0,1432,1,-4,-4,-4,1,0,0,0,-4,2,7,1982,0,101300,1,4
0,0,0,1433,2,1,0,4,0,0,0,0,-4,2,9,1984,0,101300,1,4
0,0,0,1434,1,-4,-4,-4,0,0,0,0,-4,1,6,1980,-4,-4,1,4
0,0,0,1435,1,-4,-4,-4,1,0,0,0,-4,1,10,1982,0,73600,1,4
1,0,0,1436,4,3,12,4,1,1,1,0,-4,2,2,1984,0,73600,1,4
0,0,0,1437,2,-4,-4,-4,0,0,0,0,-4,2,4,1980,0,32717,1,4
0,0,0,1438,1,-4,-4,-4,1,0,0,0,-4,2,5,1982,0,63750,1,4
5,0,0,1439,2,1,4,4,1,0,1,0,-4,1,4,1983,0,75100,1,4
0,0,0,1440,1,-4,-4,-4,0,0,0,0,-4,2,4,1981,0,56160,1,4
1,0,0,1441,1,-4,-4,-4,1,0,0,0,-4,1,5,1980,0,58000,1,4
1,0,0,1442,2,-4,-4,-4,0,0,0,0,-4,2,7,1981,0,58000,1,4
2,0,0,1443,1,1,0,1,0,0,0,0,-4,1,1,1983,0,58000,1,4
0,0,0,1444,1,-4,-4,-4,0,0,0,0,-4,2,2,1981,0,107500,1,4
0,0,0,1445,1,-4,-4,-4,1,0,0,0,-4,2,1,1982,0,59000,1,4
0,0,0,1446,1,1,0,1,0,0,0,0,-4,1,10,1984,0,59000,1,4
6,1,1,1447,1,3,3,4,0,0,0,0,-4,1,10,1983,0,98200,1,4
1,0,0,1448,1,-4,-4,-4,1,1,0,0,-4,2,12,1982,0,50000,1,4
0,0,0,1449,1,-4,-4,-4,0,0,0,0,-4,1,8,1980,0,133500,1,4
0,0,0,1450,1,-4,-4,-4,0,0,0,0,-4,2,9,1981,0,158000,1,4
0,0,0,1451,1,-4,-4,-4,0,0,0,0,-4,2,9,1981,-4,-4,1,4
3,0,0,1452,1,3,0,1,0,0,0,0,-4,1,3,1983,0,62100,1,2
0,0,0,1453,1,-4,-4,-4,1,0,0,0,-4,2,11,1981,0,131000,1,4
0,0,0,1454,1,-4,-4,-4,1,0,0,0,-4,2,4,1981,0,246474,1,4
0,0,0,1455,1,3,0,1,0,0,0,0,-4,1,10,1983,0,246474,1,4
1,0,0,1456,1,-4,-4,-4,1,0,0,1,1,1,4,1980,0,110000,1,4
0,0,0,1457,1,3,0,6,0,0,0,0,-4,1,3,1983,0,93000,1,4
0,0,0,1458,2,-4,-4,-4,1,1,0,0,-4,1,4,1981,0,69200,1,4
0,0,0,1459,1,1,0,1,0,0,0,0,-4,2,11,1984,0,69200,1,4
0,0,0,1460,1,3,2,4,0,0,0,0,-4,1,4,1984,0,75100,1,4
0,0,0,1461,1,-4,-4,-4,1,0,0,0,-4,1,10,1981,-4,-4,1,4
0,0,0,1462,1,1,0,1,1,0,0,0,-4,2,10,1984,-4,-4,1,4
0,0,0,1463,1,-4,-4,-4,0,0,0,0,-4,1,5,1980,-4,-4,1,4
0,0,0,1464,1,3,0,1,0,0,0,0,-4,2,3,1984,0,91900,1,4
6,4,108,1465,2,1,2,4,1,1,1,0,-4,1,7,1984,0,52000,1,1
0,0,0,1466,1,-4,-4,-4,1,0,0,0,-4,2,1,1982,0,-3,1,1
0,0,0,1467,1,-4,-4,-4,0,0,0,0,-4,2,11,1980,0,-3,1,1
0,0,0,1468,1,-4,-4,-4,1,0,0,0,-4,1,12,1981,0,20000,1,1
1,0,0,1469,1,3,0,1,0,0,0,0,-4,1,5,1984,0,25896,1,1
1,0,0,1470,1,-4,-4,-4,1,0,0,0,-4,2,10,1982,0,33866,1,1
9,2,9,1471,5,1,0,1,1,1,0,0,-4,1,6,1984,0,33866,1,1
5,1,2,1472,1,1,0,4,1,0,0,0,-4,2,4,1983,0,-3,1,1
0,0,0,1473,1,1,0,4,0,0,0,0,-4,1,12,1983,0,44300,1,1
6,1,91,1474,2,-4,-4,-4,1,0,0,0,-4,1,8,1980,0,60007,1,2
0,0,0,1475,1,1,3,4,0,0,0,0,-4,2,6,1983,0,60007,1,2
0,0,0,1476,1,-4,-4,-4,0,0,0,0,-4,2,4,1981,0,135010,1,1
0,0,0,1477,1,1,0,1,0,0,0,0,-4,2,12,1983,0,135010,1,1
0,0,0,1478,1,3,0,4,0,0,0,0,-4,1,9,1983,0,37000,1,1
0,0,0,1479,1,-4,-4,-4,0,0,0,0,-4,2,6,1980,0,51400,1,1
0,0,0,1480,2,1,2,1,1,0,0,0,-4,2,1,1983,0,51400,1,1
2,0,0,1481,2,1,2,4,0,0,0,0,-4,1,11,1984,1,12324,1,1
12,2,31,1482,3,-4,-4,-4,1,0,0,0,-4,1,12,1981,0,28000,1,1
2,0,0,1483,2,1,0,1,1,0,0,0,-4,1,2,1984,0,37500,1,2
5,1,1,1484,1,-4,-4,-4,1,0,0,0,-4,1,8,1980,0,75126,1,4
6,1,2,1485,1,3,0,4,0,0,0,0,-4,1,4,1983,0,75126,1,4
0,0,0,1486,1,1,0,1,0,0,0,0,-4,1,3,1984,0,85860,1,4
0,0,0,1487,1,-4,-4,-4,0,0,0,0,-4,2,5,1981,0,94100,1,4
2,1,1,1488,1,-4,-4,-4,1,0,0,0,-4,1,4,1980,0,135750,1,4
0,0,0,1489,1,-4,-4,-4,1,0,0,0,-4,2,12,1982,0,135750,1,4
0,0,0,1490,1,1,0,4,0,0,0,0,-4,2,10,1983,0,246474,1,4
0,0,0,1491,1,-4,-4,-4,0,0,0,0,-4,1,5,1982,0,61050,1,4
0,0,0,1492,1,-4,-4,-4,0,0,0,0,-4,2,11,1982,0,141076,1,4
1,0,0,1493,1,1,0,4,0,0,0,0,-4,1,9,1983,0,70200,1,4
3,0,0,1494,1,-4,-4,-4,1,1,0,0,-4,2,12,1980,0,92058,1,4
0,0,0,1495,1,-4,-4,-4,0,1,0,0,-4,2,6,1980,0,126400,1,4
0,0,0,1496,1,-4,-4,-4,0,0,0,0,-4,2,12,1981,0,126400,1,4
0,0,0,1497,1,-4,-4,-4,0,0,0,0,-4,2,8,1982,-4,-4,1,4
0,0,0,1498,1,3,3,1,0,0,0,0,-4,2,6,1984,0,-3,1,4
0,0,0,1499,1,-4,-4,-4,1,0,0,0,-4,2,8,1980,0,82550,1,4
0,0,0,1500,1,-4,-4,-4,1,0,0,0,-4,2,10,1982,0,71000,1,1
0,0,0,1501,1,-4,-4,-4,0,0,0,0,-4,2,10,1980,-4,-4,1,4
1,0,0,1502,2,1,0,4,1,0,0,0,-4,2,1,1984,0,80000,1,1
0,0,0,1503,1,-4,-4,-4,1,1,1,0,-4,1,12,1980,0,64050,1,4
0,0,0,1504,2,1,0,1,0,0,0,0,-4,2,10,1983,0,64050,1,4
1,0,0,1505,1,1,2,1,0,0,0,0,-4,1,11,1984,-4,-4,1,2
0,0,0,1506,2,1,10,4,1,0,0,0,-4,2,12,1984,0,-3,1,2
0,0,0,1507,1,3,2,1,0,0,0,0,-4,1,4,1983,0,-3,1,2
3,1,1,1508,1,1,0,4,0,0,1,0,-4,1,9,1984,0,12000,1,3
1,0,0,1509,1,-4,-4,-4,1,1,0,0,-4,2,11,1982,-4,-4,1,2
0,0,0,1510,3,-4,-4,-4,1,0,0,0,-4,1,8,1980,0,44100,1,4
1,0,0,1511,2,-4,-4,-4,1,0,0,0,-4,2,1,1982,0,44100,1,4
4,0,0,1512,4,1,7,1,1,1,1,1,1,2,5,1984,0,44100,1,4
1,0,0,1513,1,1,0,4,1,1,1,1,1,2,5,1984,0,44100,1,4
7,2,32,1514,1,-4,-4,-4,1,0,0,0,-4,1,4,1982,-4,-4,1,1
2,1,3,1515,1,-4,-4,-4,0,0,0,0,-4,1,8,1980,0,66000,1,3
0,0,0,1516,2,-4,-4,-4,1,0,0,0,-4,2,11,1980,0,-3,1,2
2,0,0,1517,1,1,3,4,0,0,0,0,-4,2,5,1983,-4,-4,1,2
0,0,0,1518,1,3,0,4,1,0,0,0,-4,1,11,1984,0,75500,1,4
0,0,0,1519,1,3,0,4,0,0,0,0,-4,1,2,1984,-4,246474,1,3
0,0,0,1520,5,1,1,4,1,0,0,0,-4,1,2,1984,0,52500,1,4
0,0,0,1521,3,-4,-4,-4,1,0,0,0,-4,2,3,1981,-4,-4,1,4
0,0,0,1522,5,-4,-4,-4,1,0,0,0,-4,1,2,1982,0,-3,1,3
0,0,0,1523,2,1,0,4,1,1,0,0,-4,2,10,1984,0,41750,1,1
0,0,0,1524,2,-4,-4,-4,1,1,0,0,-4,2,9,1981,0,11000,1,1
0,0,0,1525,2,-4,-4,-4,1,0,0,0,-4,1,12,1980,0,29276,1,1
0,0,0,1526,1,-4,-4,-4,0,0,0,0,-4,2,12,1982,0,40000,1,4
1,0,0,1527,1,3,20,6,1,1,0,1,1,2,8,1984,1,6420,1,1
0,0,0,1528,4,-4,-4,-4,1,1,0,0,-4,2,1,1981,1,8270,1,1
0,0,0,1529,2,1,0,1,0,1,0,0,-4,1,5,1984,0,8270,1,1
1,0,0,1530,1,-4,-4,-4,1,0,0,0,-4,1,5,1980,0,149250,1,4
0,0,0,1531,1,1,0,1,0,0,0,0,-4,2,5,1983,0,149250,1,4
0,0,0,1532,1,-4,-4,-4,0,0,0,0,-4,1,9,1982,0,42415,1,4
0,0,0,1533,2,-4,-4,-4,1,0,0,0,-4,2,3,1982,0,-3,1,4
0,0,0,1534,2,-4,-4,-4,1,0,0,0,-4,2,5,1980,1,20280,1,4
5,2,24,1535,2,-4,-4,-4,0,0,0,0,-4,1,12,1982,1,20280,1,4
0,0,0,1536,3,3,2,1,1,1,1,0,-4,1,3,1983,-4,-4,1,2
1,0,0,1537,5,1,0,1,0,0,0,0,-4,2,5,1983,-4,-4,1,4
0,0,0,1538,1,-4,-4,-4,1,0,0,0,-4,1,3,1980,0,130500,1,2
0,0,0,1539,2,1,2,6,1,1,0,0,-4,2,9,1983,0,65610,1,4
0,0,0,1540,2,1,0,1,1,1,0,0,-4,2,7,1984,0,39250,1,4
3,0,0,1541,1,1,0,7,1,0,0,0,-4,2,11,1984,0,68800,1,4
0,0,0,1542,1,3,0,4,0,0,0,0,-4,2,11,1983,0,-3,1,2
0,0,0,1543,2,-4,-4,-4,1,0,0,0,-4,2,7,1982,0,54500,1,4
0,0,0,1544,2,1,0,4,1,1,0,0,-4,2,5,1984,0,54500,1,4
0,0,0,1545,1,-4,-4,-4,1,0,0,0,-4,1,7,1982,1,53000,1,4
1,0,0,1546,1,1,1,1,1,0,0,0,-4,2,11,1983,1,53000,1,4
0,0,0,1547,1,-4,-4,-4,1,0,0,0,-4,1,9,1981,0,54500,1,2
1,0,0,1548,1,1,1,4,1,0,0,0,-4,1,8,1983,0,54500,1,2
0,0,0,1549,1,1,2,1,1,0,0,0,-4,1,9,1984,0,54500,1,2
0,0,0,1550,2,-4,-4,-4,1,0,0,0,-4,2,7,1982,0,69750,1,4
0,0,0,1551,1,-4,-4,-4,0,0,0,0,-4,2,5,1980,0,89900,1,4
3,0,0,1552,1,1,0,4,0,0,0,0,-4,1,10,1984,0,89900,1,4
0,0,0,1553,5,-4,-4,-4,0,0,0,0,-4,1,12,1980,0,8500,1,1
0,0,0,1554,1,1,0,1,1,0,0,0,-4,1,7,1983,0,8500,1,1
12,5,125,1555,1,-4,-4,-4,0,0,0,1,7,1,4,1980,0,27900,1,1
0,0,0,1556,1,2,-4,-4,1,0,0,0,-4,1,6,1983,0,69300,1,1
0,0,0,1557,1,3,1,7,0,0,0,0,-4,2,6,1984,0,69300,1,1
2,0,0,1558,3,-4,-4,-4,0,0,0,0,-4,1,5,1982,0,15600,1,1
1,0,0,1559,5,-4,-4,-4,1,1,0,0,-4,1,2,1982,0,41000,1,4
0,0,0,1560,1,3,1,1,1,1,0,0,-4,1,1,1984,0,34500,1,2
0,0,0,1561,-2,-4,-4,-4,-2,-2,-2,-2,-4,1,2,1984,0,24000,1,2
5,2,26,1562,1,1,0,4,0,1,0,0,-4,1,6,1984,0,42000,1,2
1,1,10,1563,1,1,0,4,1,0,0,0,-4,1,5,1983,0,55000,1,1
11,2,19,1564,1,2,-4,-4,0,0,0,1,8,1,7,1983,0,14455,1,1
0,0,0,1565,1,1,0,4,0,0,0,0,-4,2,11,1984,0,29600,1,1
1,0,0,1566,1,-4,-4,-4,0,0,0,0,-4,2,10,1982,0,-3,1,1
0,0,0,1568,1,-4,-4,-4,0,0,0,0,-4,2,9,1982,0,45000,1,1
1,0,0,1569,3,-4,-4,-4,1,0,0,0,-4,1,7,1981,0,22500,1,2
0,0,0,1570,2,-4,-4,-4,1,0,0,0,-4,1,9,1981,0,-3,1,2
0,0,0,1571,1,-4,-4,-4,0,0,0,0,-4,2,12,1982,0,-3,1,2
0,0,0,1572,1,-4,-4,-4,0,0,0,0,-4,1,4,1982,0,-3,1,4
1,0,0,1573,1,-4,-4,-4,1,0,0,0,-4,1,5,1981,0,-3,1,4
0,0,0,1574,1,3,0,4,1,0,0,0,-4,2,6,1983,0,45800,1,4
0,0,0,1575,1,-4,-4,-4,0,0,0,0,-4,2,11,1981,0,-3,1,4
1,0,0,1576,1,-4,-4,-4,0,0,0,1,1,2,1,1980,0,84012,1,4
0,0,0,1577,5,1,0,7,1,1,0,0,-4,2,6,1984,0,84012,1,4
2,0,0,1578,2,-4,-4,-4,1,1,0,1,1,1,6,1981,0,-48100,1,4
0,0,0,1579,4,1,5,1,0,1,0,0,-4,1,1,1983,-4,-4,1,1
2,0,0,1580,4,-4,-4,-4,1,1,1,0,-4,1,4,1980,0,34500,1,1
0,0,0,1581,2,-4,-4,-4,1,1,1,0,-4,1,1,1980,0,-3,1,4
1,1,1,1582,1,-4,-4,-4,1,0,0,0,-4,2,1,1980,0,17000,1,4
6,1,1,1583,1,-4,-4,-4,1,0,1,1,3,1,3,1981,-4,-4,1,2
1,0,0,1584,2,-4,-4,-4,1,0,1,0,-4,2,6,1982,-4,-4,1,2
0,0,0,1585,1,3,5,4,1,0,0,0,-4,2,10,1984,-4,-4,1,2
0,0,0,1586,1,1,3,1,1,1,0,0,-4,1,3,1983,0,18000,1,2
1,0,0,1587,1,-4,-4,-4,1,1,0,0,-4,2,6,1982,1,22408,1,4
1,0,0,1588,2,3,12,4,1,0,0,0,-4,2,1,1984,1,22408,1,4
1,0,0,1589,-2,-4,-4,-4,1,0,0,0,-4,1,9,1981,0,-3,1,2
0,0,0,1590,1,3,0,4,0,0,0,0,-4,2,4,1983,-4,40300,1,4
0,0,0,1591,3,-4,-4,-4,1,0,0,0,-4,1,10,1982,-4,-4,1,4
0,0,0,1592,1,-4,-4,-4,0,0,0,0,-4,2,3,1981,0,105050,1,4
2,0,0,1593,3,1,0,1,1,0,0,0,-4,2,2,1983,-4,-4,1,4
6,0,0,1594,2,-4,-4,-4,1,1,0,1,1,2,11,1980,0,53300,1,1
3,0,0,1595,1,-4,-4,-4,1,0,0,0,-4,2,10,1982,0,53300,1,1
0,0,0,1596,2,3,0,1,0,0,0,0,-4,1,3,1983,0,23000,1,2
0,0,0,1597,1,-4,-4,-4,1,-2,-1,0,-4,1,1,1982,-4,-4,1,1
0,0,0,1598,3,-4,-4,-4,1,0,0,0,-4,2,8,1980,0,24000,1,2
0,0,0,1599,2,-4,-4,-4,1,0,0,0,-4,2,7,1981,0,24000,1,2
0,0,0,1600,1,-4,-4,-4,0,0,0,0,-4,2,1,1982,-4,-4,1,2
0,0,0,1601,3,-4,-4,-4,1,1,0,0,-4,2,4,1982,0,-3,1,2
0,0,0,1602,1,3,0,1,1,0,0,0,-4,2,12,1984,0,-3,1,2
