"E8033100","E8043100","E8043500","R0000100","R0070700","R0343700","R0344200","R0344900","R0360300","R0360400","R0360500","R0365900","R0366000","R0536300","R0536401","R0536402","R0648900","R1204500","R1235800","R1482600"
0,0,0,69,1,-4,-4,-4,1,0,0,0,-4,2,7,1981,0,-3,1,1
0,0,0,70,1,-4,-4,-4,0,0,0,0,-4,1,8,1982,0,-3,1,1
0,0,0,71,1,-4,-4,-4,0,0,0,0,-4,1,1,1980,0,26015,1,1
0,0,0,72,1,-4,-4,-4,0,0,0,0,-4,2,4,1982,-4,-4,1,1
2,0,0,73,2,1,2,1,1,0,0,0,-4,1,10,1984,-4,-4,1,1
0,0,0,74,1,3,0,1,0,0,0,0,-4,1,7,1983,0,-3,1,4
0,0,0,75,1,-4,-4,-4,0,0,0,0,-4,1,1,1982,-4,-4,1,4
0,0,0,76,-2,-4,-4,-4,0,0,0,0,-4,1,1,1982,-4,-4,1,4
0,0,0,77,1,1,0,1,0,0,0,0,-4,2,11,1984,0,35500,1,2
1,0,0,78,-2,-4,-4,-4,-2,0,0,0,-4,2,7,1981,0,-3,1,4
2,0,0,79,2,1,18,4,1,0,1,0,-4,1,12,1983,1,-3,1,2
4,0,0,80,-2,-4,-4,-4,0,0,0,0,-4,1,6,1981,0,30000,1,1
0,0,0,81,5,1,0,2,1,1,1,0,-4,2,1,1984,0,4810,1,1
0,0,0,82,1,1,0,1,0,0,0,0,-4,1,7,1984,0,-3,1,2
2,0,0,83,1,-4,-4,-4,-1,0,0,0,-4,1,9,1981,0,-3,1,2
0,0,0,84,-2,1,0,6,-2,1,0,0,-4,2,2,1984,0,-3,1,2
1,1,12,85,1,1,0,1,0,0,0,0,-4,1,2,1984,0,12000,1,4
0,0,0,86,1,-4,-4,-4,1,0,0,0,-4,2,10,1980,0,-3,1,4
0,0,0,87,1,1,0,1,0,0,0,0,-4,1,5,1984,0,42500,1,2
0,0,0,88,2,-4,-4,-4,1,0,0,0,-4,1,1,1981,-4,-4,1,4
0,0,0,89,-2,-4,-4,-4,-2,0,0,0,-4,1,11,1981,-4,-4,1,4
1,0,0,90,-2,-4,-4,-4,-2,0,0,0,-4,1,11,1981,0,-3,1,2
0,0,0,91,1,-4,-4,-4,0,0,0,0,-4,2,9,1982,0,-3,1,2
0,0,0,92,-2,-2,-4,-4,0,0,0,0,-4,1,4,1983,0,37600,1,4
0,0,0,93,1,1,0,3,0,0,0,0,-4,1,9,1983,0,29000,1,2
0,0,0,94,1,-4,-4,-4,1,1,0,0,-4,2,9,1980,0,17500,1,1
0,0,0,95,1,-4,-4,-4,0,0,0,0,-4,1,7,1982,0,34738,1,2
0,0,0,96,1,-4,-4,-4,1,0,0,0,-4,1,7,1982,0,75500,1,4
0,0,0,97,2,-4,-4,-4,1,1,0,0,-4,1,6,1980,0,41100,1,2
0,0,0,98,1,-4,-4,-4,0,0,0,0,-4,1,1,1980,-4,-4,1,4
0,0,0,99,3,-4,-4,-4,0,0,0,0,-4,1,6,1982,-2,-3,1,2
1,0,0,100,2,-4,-4,-4,0,1,0,0,-4,2,1,1981,0,26000,1,1
0,0,0,101,2,-4,-4,-4,1,0,0,0,-4,2,7,1981,0,-3,1,1
0,0,0,102,1,-4,-4,-4,0,0,0,0,-4,2,4,1982,0,80000,1,2
0,0,0,103,1,1,2,2,0,0,0,0,-4,2,11,1983,0,80000,1,2
0,0,0,104,1,-4,-4,-4,0,0,0,0,-4,2,11,1980,0,75673,1,4
0,0,0,105,1,1,2,1,0,0,0,0,-4,1,8,1983,0,75673,1,4
0,0,0,106,2,-4,-4,-4,1,0,0,0,-4,1,11,1981,0,92300,1,4
0,0,0,107,2,-4,-4,-4,0,0,0,0,-4,2,8,1982,0,135000,1,4
0,0,0,108,1,1,0,1,0,0,0,0,-4,1,9,1984,0,135000,1,4
0,0,0,109,1,-4,-4,-4,0,0,0,0,-4,2,3,1982,0,76500,1,4
0,0,0,110,1,1,0,4,0,0,0,0,-4,2,2,1984,0,76500,1,4
0,0,0,111,1,-4,-4,-4,0,0,0,0,-4,2,1,1981,0,63850,1,4
